vote,name,bill_num,vote_nm,no_vote,yeas,nays,vote_date,vote_time,page_num
Y,Mr. Speaker,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Mariano,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Haddad,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Rushing,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Donato,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Moran M.,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Arciero,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Ashe,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Atkins,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Ayers,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Balser,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Barber,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Barrett,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Benson,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Brodeur,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cabral,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cahill,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Calter,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Campbell,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cantwell,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Carvalho,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cassidy,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Chan,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Collins,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Connolly,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Coppinger,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Crighton,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cronin,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cullinane,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cusack,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Cutler,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Day,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Decker,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,DiZoglio,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Donahue,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Driscoll,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,DuBois,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Dwyer,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Dykema,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Ehrlich,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Farley-Bouvier,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Fernandes,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Ferrante,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Finn,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Fiola,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Galvin,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Garballey,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Garlick,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Garry,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Gentile,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Golden,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Goldstein-Rose,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Gonzalez,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Gordon,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Gregoire,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Hay,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Hecht,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Higgins,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Hogan,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Holmes,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Honan,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,"Hunt, D.",307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Kafka,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Kaufman,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Keefe,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Khan,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Kocot,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Koczera,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Kulik,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Lawn,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Lewis,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
X,Linsky,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Livingstone,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Madaro,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Mahoney,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
Y,Malia,307,H. 4134 On Engrossment,8,150,1,01/24/2018,05:37 PM,1
